street,district,rooms,area,price,material,condition,year_built,total_floors
Aiandi 8/1-31,Mustamäe,2.0,40.6,109490,kivimaja,uus,2021.0,8.0
Priisle tee 4/2,Lasnamäe,2.0,44.0,87000,paneelmaja,uus,2007.0,9.0
Mündi 2,Kesklinn,3.0,197.2,840000,kivimaja,renoveeritud,1700.0,5.0
Videviku 15-4,Kesklinn,3.0,73.8,218000,kivimaja,uus,2019.0,5.0
Pirita tee 28a,Kesklinn,3.0,112.9,259000,kivimaja,keskmises seisukorras,2008.0,13.0
Soodi 4-6,Põhja-Tallinn,2.0,59.9,156500,kivimaja,uus,2020.0,5.0
Jalami tn 1-66,Haabersti,3.0,62.0,124900,paneelmaja,uus,2019.0,8.0
Akadeemia tee 10,Mustamäe,3.0,56.2,96490,paneelmaja,heas korras,1963.0,5.0
Asula 1b,Kesklinn,3.0,96.0,189990,kivimaja,uus,2007.0,10.0
Valge tn 16-80,Lasnamäe,3.0,51.3,144000,kivimaja,uus,2019.0,5.0
Narva mnt 40,Kesklinn,1.0,12.8,79900,kivimaja,uus,2019.0,6.0
Rehe põik 10,Mustamäe,2.0,45.8,118000,kivimaja,uus,2019.0,4.0
Pille 9/4-B72,Kesklinn,1.0,34.3,103900,paneelmaja,uus,2020.0,4.0
Spordi tn 28,Kristiine,4.0,137.8,250000,kivimaja,heas korras,1962.0,3.0
Paepargi 50/1-12,Lasnamäe,4.0,102.4,205000,paneelmaja,uus,2020.0,14.0
Võistluse 6-108,Kesklinn,3.0,73.1,164100,kivimaja,uus,2019.0,14.0
Saku tn. 5,Kesklinn,2.0,37.1,70000,kivimaja,vajab renoveerimist,1960.0,4.0
Pöörise 10-11,Mustamäe,4.0,74.9,145000,paneelmaja,uus,2019.0,14.0
Järve 2-205,Kristiine,3.0,68.7,208300,paneelmaja,uus,2020.0,18.0
Vabaõhumuuseumi tee 5/2,Haabersti,2.0,66.2,149000,paneelmaja,renoveeritud,2004.0,12.0
Astangu 20-137,Haabersti,4.0,90.9,184900,paneelmaja,uus,2019.0,5.0
Sõpruse pst 172,Kristiine,1.0,33.5,77000,kivimaja,heas korras,2004.0,6.0
Lembitu 14,Kesklinn,3.0,73.6,185000,kivimaja,heas korras,1958.0,5.0
Raadiku 5,Lasnamäe,2.0,46.0,77990,paneelmaja,renoveeritud,1983.0,5.0
Väike-Patarei 1-1/1-10,Põhja-Tallinn,4.0,76.9,296500,paneelmaja,uus,2019.0,4.0
Mahtra 24,Lasnamäe,4.0,87.7,107900,paneelmaja,heas korras,1982.0,9.0
Pirita tee 26b/1-28,Kesklinn,3.0,74.7,179900,paneelmaja,uus,2020.0,4.0
Noole 4,Põhja-Tallinn,3.0,109.8,299000,kivimaja,uus,2008.0,4.0
Hagudi 26-9,Kesklinn,2.0,52.6,158000,kivimaja,uus,2019.0,3.0
Pöörise 7-65,Mustamäe,2.0,45.4,102000,paneelmaja,uus,2020.0,12.0
